"","X","Date","Match.ID","Team.Name","Player.Name","Game..","Mode","Map.Name","Win.Team","Rnds.Won","K.D","Kills","Deaths","Assist","Total.Dmg","Shots.per.Kill","Kills.Min","Deaths.Min","Dmg.Min","Total.Time.Alive","Total.First.Bloods","Total.First.Bloods.Deaths","Total.Hill.Time","Total.Rotation.Kills","Total.Rotation.Deaths","Total.Tacticals.Used","Total.Objective.Tiers.Contributed","Total.Untraded.Kills","Total.Untraded.Deaths","Total.Traded.Kills","Total.Traded.Deaths","Total.Shots.Hit","Total.Shots.Head","Total.Game.Win","Total.Game.Loss","Rnd.Lost","Total.Game.Score","Total.Game.Plus.Minus","Total.Dmg.Dealt","Duration","Stage","Opponent.Name","Total.Opp.Game.Score"
"158",158,"6/17/2023",11482,"TX","Ghosty",2,"Control","Breenbergh Hotel","TX",3,1.26,24,19,4,2825,15.33,2,1.58,235.42,607.28,0,0,"0",0,0,19,6,18,15,5,3,104,11,1,0,1,3,2,"2825",607,"Stage5","SEA",6
"159",159,"6/17/2023",11482,"TX","Huke",2,"Control","Breenbergh Hotel","TX",3,0.84,16,19,9,2063,17.56,1.33,1.58,171.92,600.288,0,0,"0",0,0,18,7,14,15,2,4,78,9,1,0,1,3,2,"2063",600,"Stage5","SEA",6
"160",160,"6/17/2023",11482,"TX","Shotzzy",2,"Control","Breenbergh Hotel","TX",3,1.05,23,22,5,2864,13.43,1.92,1.83,238.67,576.288,0,2,"0",0,0,18,4,15,15,8,7,107,18,1,0,1,3,2,"2864",576,"Stage5","SEA",6
"161",161,"6/17/2023",11482,"SEA","Accuracy",1,"S&D","El Bagra Fortress","SEA",6,2.5,10,4,1,1227,20.3,0.91,0.36,111.55,442.576,1,1,"0",0,0,5,0,6,3,1,1,45,6,1,0,2,6,-4,"1227",443,"Stage5","TX",2
"162",162,"6/17/2023",11482,"SEA","Mack",1,"S&D","El Bagra Fortress","SEA",6,0.43,3,7,1,448,27.67,0.27,0.64,40.73,385.872,1,1,"0",0,0,7,0,3,4,0,3,19,5,1,0,2,6,-4,"448",386,"Stage5","TX",2
"163",163,"6/17/2023",11482,"SEA","Pred",1,"S&D","El Bagra Fortress","SEA",6,1.17,7,6,2,778,19.57,0.64,0.55,70.73,344.176,1,1,"0",0,0,6,0,5,4,0,2,26,4,1,0,2,6,-4,"778",344,"Stage5","TX",2
"164",164,"6/17/2023",11482,"SEA","Sib",1,"S&D","El Bagra Fortress","SEA",6,1.75,7,4,3,1055,30.29,0.64,0.36,95.91,481.6,1,1,"0",0,0,8,0,5,1,2,1,44,5,1,0,2,6,-4,"1055",482,"Stage5","TX",2
"165",165,"6/17/2023",11482,"TX","Dashy",1,"S&D","El Bagra Fortress","SEA",2,0.57,4,7,2,494,25.75,0.36,0.64,44.91,310.928,1,1,"0",0,0,6,0,1,5,2,1,20,3,0,1,6,2,-4,"494",311,"Stage5","SEA",6
"166",166,"6/17/2023",11482,"TX","Ghosty",1,"S&D","El Bagra Fortress","SEA",2,2,10,5,0,993,14.3,0.91,0.45,90.27,479.168,1,1,"0",0,0,8,0,7,3,2,0,38,6,0,1,6,2,-4,"993",479,"Stage5","SEA",6
"167",167,"6/17/2023",11482,"TX","Huke",1,"S&D","El Bagra Fortress","SEA",2,0.75,6,8,2,1000,28.83,0.55,0.73,90.91,406.64,2,2,"0",0,0,8,0,4,5,2,1,32,7,0,1,6,2,-4,"1000",407,"Stage5","SEA",6
"168",168,"6/17/2023",11482,"TX","Shotzzy",1,"S&D","El Bagra Fortress","SEA",2,0.14,1,7,4,339,56,0.09,0.64,30.82,283.344,0,0,"0",0,0,5,0,0,6,1,1,9,1,0,1,6,2,-4,"339",283,"Stage5","SEA",6
"169",177,"6/17/2023",11477,"NY","HyDra",2,"Control","El Asilo","TOR",0,0.68,15,22,6,1726,13.47,1.5,2.2,172.6,445.008,0,0,"0",0,0,7,4,11,17,4,5,62,7,0,1,3,0,3,"1726",445,"Stage5","TOR",3
"170",178,"6/17/2023",11477,"NY","KiSMET",2,"Control","El Asilo","TOR",0,0.52,11,21,7,1932,25.73,1.1,2.1,193.2,445.344,1,1,"0",0,0,8,3,5,17,6,4,77,5,0,1,3,0,3,"1932",445,"Stage5","TOR",3
"171",179,"6/17/2023",11477,"NY","Priestahh",2,"Control","El Asilo","TOR",0,0.87,13,15,4,1468,16.69,1.3,1.5,146.8,476.992,1,0,"0",0,0,14,7,11,12,2,3,58,3,0,1,3,0,3,"1468",477,"Stage5","TOR",3
