"","X","Date","Match.ID","Team.Name","Player.Name","Game..","Mode","Map.Name","Win.Team","Rnds.Won","K.D","Kills","Deaths","Assist","Total.Dmg","Shots.per.Kill","Kills.Min","Deaths.Min","Dmg.Min","Total.Time.Alive","Total.First.Bloods","Total.First.Bloods.Deaths","Total.Hill.Time","Total.Rotation.Kills","Total.Rotation.Deaths","Total.Tacticals.Used","Total.Objective.Tiers.Contributed","Total.Untraded.Kills","Total.Untraded.Deaths","Total.Traded.Kills","Total.Traded.Deaths","Total.Shots.Hit","Total.Shots.Head","Total.Game.Win","Total.Game.Loss","Rnd.Lost","Total.Game.Score","Total.Game.Plus.Minus","Total.Dmg.Dealt","Duration","Stage","Opponent.Name","Total.Opp.Game.Score"
"681",705,"5/27/2023",11330,"ATL","Cellium",2,"Control","","ATL",3,2.5,20,8,3,2426,12.95,2,0.8,242.6,556.896,1,1,"0",0,0,10,3,17,5,2,3,87,6,1,0,0,3,3,"2426",557,"Stage5","TOR",242
"682",706,"5/27/2023",11330,"ATL","Simp",2,"Control","","ATL",3,1.33,20,15,8,2449,15.95,2,1.5,244.9,520.224,1,0,"0",0,0,6,5,17,11,3,4,99,9,1,0,0,3,3,"2449",520,"Stage5","TOR",242
"683",707,"5/27/2023",11330,"ATL","SlasheR",2,"Control","","ATL",3,1.54,20,13,6,2485,17.45,2,1.3,248.5,530.864,0,0,"0",0,0,13,2,16,10,4,3,91,17,1,0,0,3,3,"2485",531,"Stage5","TOR",242
"684",708,"5/27/2023",11330,"ATL","aBeZy",2,"Control","","ATL",3,1.73,19,11,5,1903,11.68,1.9,1.1,190.3,541.76,0,0,"0",0,0,7,0,17,6,2,5,76,4,1,0,0,3,3,"1903",542,"Stage5","TOR",242
"685",709,"5/27/2023",11330,"TOR","CleanX",2,"Control","","ATL",0,0.58,14,24,4,2100,19.71,1.4,2.4,210,460.896,1,0,"0",0,0,9,2,5,22,9,2,80,8,0,1,3,0,3,"2100",461,"Stage5","ATL",250
"686",710,"5/27/2023",11330,"TOR","Hicksy",2,"Control","","ATL",0,0.58,11,19,3,1357,16.36,1.1,1.9,135.7,498.752,0,1,"0",0,0,9,3,8,19,3,0,57,8,0,1,3,0,3,"1357",499,"Stage5","ATL",250
"687",711,"5/27/2023",11330,"TOR","Insight",2,"Control","","ATL",0,0.5,9,18,4,2042,40.11,0.9,1.8,204.2,501.36,0,0,"0",0,0,8,3,7,12,2,6,74,9,0,1,3,0,3,"2042",501,"Stage5","ATL",250
"688",712,"5/27/2023",11330,"TOR","Scrap",2,"Control","","ATL",0,0.72,13,18,5,1811,16.69,1.3,1.8,181.1,509.808,0,1,"0",0,0,2,7,12,14,1,3,11,4,0,1,3,0,3,"1811",510,"Stage5","ATL",250
"689",713,"5/27/2023",11330,"ATL","Cellium",0,"Hardpoint","El Bagra Fortress","ATL",1,1.41,31,22,18,3960,14.42,2.82,2,360,571.76,0,0,"0",3,2,20,0,24,15,7,7,143,17,1,0,0,250,34,"3960",572,"Stage5","TOR",242
"690",714,"5/27/2023",11330,"ATL","Simp",0,"Hardpoint","El Bagra Fortress","ATL",1,1.16,29,25,14,3009,13.62,2.64,2.27,273.55,529.488,0,0,"0",2,5,17,0,23,16,6,9,117,4,1,0,0,250,34,"3009",529,"Stage5","TOR",242
"691",715,"5/27/2023",11330,"ATL","SlasheR",0,"Hardpoint","El Bagra Fortress","ATL",1,1.04,27,26,11,3237,14.59,2.45,2.36,294.27,507.728,0,0,"0",2,3,21,0,18,16,9,10,107,17,1,0,0,250,34,"3237",508,"Stage5","TOR",242
"692",716,"5/27/2023",11330,"ATL","aBeZy",0,"Hardpoint","El Bagra Fortress","ATL",1,1.3,39,30,9,3978,12.85,3.55,2.73,361.64,511.84,1,0,"0",8,3,20,0,21,15,18,15,165,18,1,0,0,250,34,"3978",512,"Stage5","TOR",242
"693",717,"5/27/2023",11330,"TOR","CleanX",0,"Hardpoint","El Bagra Fortress","ATL",0,0.79,27,34,8,3027,17.59,2.45,3.09,275.18,507.52,0,0,"0",0,4,12,0,16,28,11,6,123,14,0,1,1,216,34,"3027",508,"Stage5","ATL",250
"694",718,"5/27/2023",11330,"TOR","Hicksy",0,"Hardpoint","El Bagra Fortress","ATL",0,0.73,22,30,11,2814,16.91,2,2.73,255.82,522.048,0,0,"0",4,7,17,0,14,19,8,11,110,16,0,1,1,216,34,"2814",522,"Stage5","ATL",250
"695",719,"5/27/2023",11330,"TOR","Insight",0,"Hardpoint","El Bagra Fortress","ATL",0,0.79,22,28,12,2812,20.82,2,2.55,255.64,540.384,0,1,"0",2,2,14,0,12,19,10,9,102,9,0,1,1,216,34,"2812",540,"Stage5","ATL",250
"696",720,"5/27/2023",11330,"TOR","Scrap",0,"Hardpoint","El Bagra Fortress","ATL",0,0.94,32,34,11,3982,13.75,2.91,3.09,362,503.968,0,0,"0",7,2,6,0,20,20,12,14,31,16,0,1,1,216,34,"3982",504,"Stage5","ATL",250
"697",729,"5/27/2023",11329,"FLA","Brack",1,"S&D","Mercado Las Almas","MIN",3,0.4,2,5,4,617,43.5,0.18,0.45,56.09,415.632,0,1,"0",0,0,8,0,1,2,0,1,19,0,0,1,6,3,-3,"617",416,"Stage5","MIN",6
"698",730,"5/27/2023",11329,"FLA","Capsidal",1,"S&D","Mercado Las Almas","MIN",3,0.67,6,9,4,741,13.67,0.55,0.82,67.36,306.08,2,1,"0",0,0,6,0,3,7,3,2,27,1,0,1,6,3,-3,"741",306,"Stage5","MIN",6
"699",731,"5/27/2023",11329,"FLA","Felo",1,"S&D","Mercado Las Almas","MIN",3,0.29,2,7,4,369,34,0.18,0.64,33.55,323.456,0,2,"0",0,0,6,0,1,4,0,1,15,1,0,1,6,3,-3,"369",323,"Stage5","MIN",6
"700",732,"5/27/2023",11329,"FLA","Vikul",1,"S&D","Mercado Las Almas","MIN",3,1.43,10,7,1,1027,14.1,0.91,0.64,93.36,420.832,1,2,"0",0,0,8,0,8,4,0,2,36,1,0,1,6,3,-3,"1027",421,"Stage5","MIN",6
"701",733,"5/27/2023",11329,"MIN","Attach",1,"S&D","Mercado Las Almas","MIN",6,1,4,4,0,622,29.25,0.36,0.36,56.55,459.712,0,0,"0",0,0,9,0,2,4,0,0,22,2,1,0,3,6,-3,"622",460,"Stage5","FLA",3
"702",734,"5/27/2023",11329,"MIN","Bance",1,"S&D","Mercado Las Almas","MIN",6,1.2,6,5,0,628,12.33,0.55,0.45,57.09,374.288,0,0,"0",0,0,8,0,3,4,2,0,24,2,1,0,3,6,-3,"628",374,"Stage5","FLA",3
"703",735,"5/27/2023",11329,"MIN","Cammy",1,"S&D","Mercado Las Almas","MIN",6,1.33,8,6,2,874,11,0.73,0.55,79.45,371.44,2,1,"0",0,0,5,0,3,2,3,2,28,1,1,0,3,6,-3,"874",371,"Stage5","FLA",3
"704",736,"5/27/2023",11329,"MIN","Fame",1,"S&D","Mercado Las Almas","MIN",6,2,10,5,2,1420,9.2,0.91,0.45,129.09,357.376,4,2,"0",0,0,7,0,9,3,1,1,22,3,1,0,3,6,-3,"1420",357,"Stage5","FLA",3
"705",737,"5/27/2023",11329,"FLA","Brack",0,"Hardpoint","El Bagra Fortress","MIN",0,1.05,22,21,7,2564,15.45,2,1.91,233.09,562.784,0,0,"0",4,3,19,0,16,16,6,5,100,8,0,1,1,224,-26,"2564",563,"Stage5","MIN",6
"706",738,"5/27/2023",11329,"FLA","Capsidal",0,"Hardpoint","El Bagra Fortress","MIN",0,1.42,34,24,9,3813,14.97,3.09,2.18,346.64,560.672,0,0,"0",8,3,9,0,27,14,7,10,146,9,0,1,1,224,-26,"3813",561,"Stage5","MIN",6
"707",739,"5/27/2023",11329,"FLA","Felo",0,"Hardpoint","El Bagra Fortress","MIN",0,1.07,32,30,12,4102,18.06,2.91,2.73,372.91,524.464,0,0,"0",6,10,16,0,19,21,13,9,148,13,0,1,1,224,-26,"4102",524,"Stage5","MIN",6
"708",740,"5/27/2023",11329,"FLA","Vikul",0,"Hardpoint","El Bagra Fortress","MIN",0,0.76,22,29,11,2392,15.45,2,2.64,217.45,537.36,1,0,"0",4,7,17,0,16,21,6,8,90,10,0,1,1,224,-26,"2392",537,"Stage5","MIN",6
"709",741,"5/27/2023",11329,"MIN","Attach",0,"Hardpoint","El Bagra Fortress","MIN",1,1.13,27,24,6,3227,16.67,2.45,2.18,293.36,553.568,0,0,"0",4,6,19,0,21,14,6,10,122,5,1,0,0,250,-26,"3227",554,"Stage5","FLA",3
"710",742,"5/27/2023",11329,"MIN","Bance",0,"Hardpoint","El Bagra Fortress","MIN",1,0.85,28,33,9,3781,16.46,2.55,3,343.73,474.736,0,1,"0",5,7,13,0,21,28,7,5,133,9,1,0,0,250,-26,"3781",475,"Stage5","FLA",3
"711",743,"5/27/2023",11329,"MIN","Cammy",0,"Hardpoint","El Bagra Fortress","MIN",1,1.04,26,25,7,2561,12.35,2.36,2.27,232.82,528.24,0,0,"0",6,5,14,0,15,19,11,6,93,14,1,0,0,250,-26,"2561",528,"Stage5","FLA",3
"712",744,"5/27/2023",11329,"MIN","Fame",0,"Hardpoint","El Bagra Fortress","MIN",1,0.82,23,28,7,2692,14.91,2.09,2.55,244.73,530.32,0,0,"0",8,4,17,0,15,17,8,11,105,13,1,0,0,250,-26,"2692",530,"Stage5","FLA",3
"713",745,"5/26/2023",11338,"LAT","Drazah",2,"Control","Breenbergh Hotel","LAT",3,0.93,13,14,7,1830,18.54,1.44,1.56,203.33,463.568,0,0,"0",0,0,12,4,11,10,2,4,67,6,1,0,0,3,3,"1830",464,"Stage5","LDN",0
"714",746,"5/26/2023",11338,"LAT","Envoy",2,"Control","Breenbergh Hotel","LAT",3,1.29,22,17,5,2247,17.18,2.44,1.89,249.67,445.872,0,1,"0",0,0,16,1,15,11,6,6,99,11,1,0,0,3,3,"2247",446,"Stage5","LDN",0
"715",747,"5/26/2023",11338,"LAT","Kenny",2,"Control","Breenbergh Hotel","LAT",3,1.9,19,10,6,1939,15.11,2.11,1.11,215.44,482.416,0,2,"0",0,0,6,2,16,9,3,1,84,11,1,0,0,3,3,"1939",482,"Stage5","LDN",0
"716",748,"5/26/2023",11338,"LAT","Octane",2,"Control","Breenbergh Hotel","LAT",3,1.14,16,14,7,2235,14.63,1.78,1.56,248.33,461.424,0,0,"0",0,0,6,5,8,10,8,4,73,10,1,0,0,3,3,"2235",461,"Stage5","LDN",0
"717",749,"5/26/2023",11338,"LDN","Asim",2,"Control","Breenbergh Hotel","LAT",0,0.89,17,19,3,1687,14.24,1.89,2.11,187.44,424.832,1,0,"0",0,0,10,3,13,15,4,4,64,9,0,1,3,0,3,"1687",425,"Stage5","LAT",3
"718",750,"5/26/2023",11338,"LDN","Nastie",2,"Control","Breenbergh Hotel","LAT",0,0.76,13,17,2,1716,20.69,1.44,1.89,190.67,433.584,1,0,"0",0,0,11,4,9,14,4,3,64,6,0,1,3,0,3,"1716",434,"Stage5","LAT",3
"719",751,"5/26/2023",11338,"LDN","Skrapz",2,"Control","Breenbergh Hotel","LAT",0,1,13,13,5,1813,23.46,1.44,1.44,201.44,463.04,0,0,"0",0,0,9,2,9,10,4,3,70,7,0,1,3,0,3,"1813",463,"Stage5","LAT",3
"720",752,"5/26/2023",11338,"LDN","Uli",2,"Control","Breenbergh Hotel","LAT",0,0.57,12,21,5,1683,18.42,1.33,2.33,187,432.944,1,0,"0",0,0,10,4,9,11,3,9,72,6,0,1,3,0,3,"1683",433,"Stage5","LAT",3
"721",753,"5/26/2023",11338,"LAT","Drazah",1,"S&D","El Asilo","LAT",6,1.83,11,6,3,1229,11.45,0.69,0.38,76.81,514.16,1,2,"0",0,0,9,0,7,4,1,1,46,5,1,0,5,6,1,"1229",514,"Stage5","LDN",0
"722",754,"5/26/2023",11338,"LAT","Envoy",1,"S&D","El Asilo","LAT",6,0.88,7,8,3,873,17.14,0.44,0.5,54.56,461.792,3,1,"0",0,0,9,0,4,4,2,3,33,1,1,0,5,6,1,"873",462,"Stage5","LDN",0
"723",755,"5/26/2023",11338,"LAT","Kenny",1,"S&D","El Asilo","LAT",6,1,7,7,2,1116,20.29,0.44,0.44,69.75,499.632,2,1,"0",0,0,6,0,6,4,0,2,44,2,1,0,5,6,1,"1116",500,"Stage5","LDN",0
"724",756,"5/26/2023",11338,"LAT","Octane",1,"S&D","El Asilo","LAT",6,1.8,9,5,0,1218,19.89,0.56,0.31,76.13,647.888,1,0,"0",0,0,8,0,6,3,2,0,39,5,1,0,5,6,1,"1218",648,"Stage5","LDN",0
"725",757,"5/26/2023",11338,"LDN","Asim",1,"S&D","El Asilo","LAT",5,0.3,3,10,2,619,23.33,0.19,0.63,38.69,463.68,1,4,"0",0,0,5,0,1,6,1,4,23,4,0,1,6,5,1,"619",464,"Stage5","LAT",3
"726",758,"5/26/2023",11338,"LDN","Nastie",1,"S&D","El Asilo","LAT",5,1,7,7,1,1274,21.29,0.44,0.44,79.63,634.592,1,0,"0",0,0,9,0,3,5,2,0,43,2,0,1,6,5,1,"1274",635,"Stage5","LAT",3
"727",759,"5/26/2023",11338,"LDN","Skrapz",1,"S&D","El Asilo","LAT",5,0.44,4,9,2,668,44.5,0.25,0.56,41.75,551.696,0,1,"0",0,0,8,0,2,5,1,1,25,6,0,1,6,5,1,"668",552,"Stage5","LAT",3
"728",760,"5/26/2023",11338,"LDN","Uli",1,"S&D","El Asilo","LAT",5,1.5,12,8,0,1380,16.5,0.75,0.5,86.25,519.472,2,2,"0",0,0,10,0,9,7,2,0,52,2,0,1,6,5,1,"1380",519,"Stage5","LAT",3
"729",761,"5/26/2023",11338,"LAT","Drazah",0,"Hardpoint","El Bagra Fortress","LAT",1,1.21,35,29,10,3453,12.2,2.92,2.42,287.75,552.064,1,0,"0",12,9,21,0,25,17,10,12,126,16,1,0,0,250,18,"3453",552,"Stage5","LDN",0
"730",762,"5/26/2023",11338,"LAT","Envoy",0,"Hardpoint","El Bagra Fortress","LAT",1,0.74,23,31,12,2920,22.52,1.92,2.58,243.33,570.864,0,0,"0",5,8,24,0,16,23,7,8,115,17,1,0,0,250,18,"2920",571,"Stage5","LDN",0
"731",763,"5/26/2023",11338,"LAT","Kenny",0,"Hardpoint","El Bagra Fortress","LAT",1,0.89,25,28,13,3446,19.96,2.08,2.33,287.17,575.632,0,0,"0",4,6,17,0,12,18,13,10,137,17,1,0,0,250,18,"3446",576,"Stage5","LDN",0
"732",764,"5/26/2023",11338,"LAT","Octane",0,"Hardpoint","El Bagra Fortress","LAT",1,1.03,32,31,16,4146,14.84,2.67,2.58,345.5,560.464,0,0,"0",8,8,17,0,25,19,7,12,152,13,1,0,0,250,18,"4146",560,"Stage5","LDN",0
"733",765,"5/26/2023",11338,"LDN","Asim",0,"Hardpoint","El Bagra Fortress","LAT",0,1.09,37,34,13,4206,12.62,3.08,2.83,350.5,550.176,0,0,"0",12,7,24,0,24,19,13,15,155,14,0,1,1,232,18,"4206",550,"Stage5","LAT",3
"734",766,"5/26/2023",11338,"LDN","Nastie",0,"Hardpoint","El Bagra Fortress","LAT",0,0.96,26,27,11,3311,16.88,2.17,2.25,275.92,587.392,0,1,"0",3,9,16,0,17,18,9,9,128,11,0,1,1,232,18,"3311",587,"Stage5","LAT",3
"735",767,"5/26/2023",11338,"LDN","Skrapz",0,"Hardpoint","El Bagra Fortress","LAT",0,1.5,36,24,9,3789,13.92,3,2,315.75,598.368,0,0,"0",9,4,12,0,24,19,12,5,140,17,0,1,1,232,18,"3789",598,"Stage5","LAT",3
"736",768,"5/26/2023",11338,"LDN","Uli",0,"Hardpoint","El Bagra Fortress","LAT",0,0.67,20,30,15,2532,21.6,1.67,2.5,211,576.048,0,0,"0",7,9,17,0,12,22,8,8,109,14,0,1,1,232,18,"2532",576,"Stage5","LAT",3
"737",769,"5/26/2023",11337,"LAG","Arcitys",2,"Control","","NY",1,0.73,11,15,4,1696,20,1.1,1.5,169.6,473.76,1,0,"0",0,0,11,3,9,15,2,0,57,6,0,1,3,1,2,"1696",474,"Stage5","NY",3
"738",770,"5/26/2023",11337,"LAG","Assault",2,"Control","","NY",1,0.89,16,18,3,1766,13.19,1.6,1.8,176.6,445.296,1,0,"0",0,0,12,2,12,16,4,2,63,3,0,1,3,1,2,"1766",445,"Stage5","NY",3
"739",771,"5/26/2023",11337,"LAG","Exceed",2,"Control","","NY",1,1.13,18,16,4,1989,14.33,1.8,1.6,198.9,469.856,0,0,"0",0,0,14,3,12,13,6,3,80,4,0,1,3,1,2,"1989",470,"Stage5","NY",3
"740",772,"5/26/2023",11337,"LAG","JoeDeceives",2,"Control","","NY",1,0.62,13,21,8,1780,20.46,1.3,2.1,178,432.496,0,2,"0",0,0,10,4,10,11,3,10,78,10,0,1,3,1,2,"1780",432,"Stage5","NY",3
"741",773,"5/26/2023",11337,"NY","HyDra",2,"Control","","NY",3,1.47,22,15,5,2668,13,2.2,1.5,266.8,466.736,0,2,"0",0,0,7,5,19,10,3,5,104,6,1,0,1,3,2,"2668",467,"Stage5","LAG",1
"742",774,"5/26/2023",11337,"NY","KiSMET",2,"Control","","NY",3,0.9,18,20,2,2247,14.39,1.8,2,224.7,436.288,0,0,"0",0,0,8,4,11,13,7,7,87,7,1,0,1,3,2,"2247",436,"Stage5","LAG",1
"743",775,"5/26/2023",11337,"NY","Priestahh",2,"Control","","NY",3,1.67,20,12,3,2057,11.2,2,1.2,205.7,482.512,1,0,"0",0,0,15,7,16,12,4,0,76,6,1,0,1,3,2,"2057",483,"Stage5","LAG",1
"744",776,"5/26/2023",11337,"NY","Skyz",2,"Control","","NY",3,0.91,10,11,4,1644,20.4,1,1.1,164.4,487.824,1,0,"0",0,0,11,6,9,8,1,3,60,5,1,0,1,3,2,"1644",488,"Stage5","LAG",1
"745",777,"5/26/2023",11337,"LAG","Arcitys",1,"S&D","Breenbergh Hotel","NY",3,0.71,5,7,2,863,42.2,0.33,0.47,57.53,532.08,0,0,"0",0,0,8,0,3,6,1,1,38,2,0,1,6,3,3,"863",532,"Stage5","NY",3
"746",778,"5/26/2023",11337,"LAG","Assault",1,"S&D","Breenbergh Hotel","NY",3,0.33,3,9,1,756,69,0.2,0.6,50.4,530.304,0,3,"0",0,0,6,0,3,7,0,0,32,0,0,1,6,3,3,"756",530,"Stage5","NY",3
"747",779,"5/26/2023",11337,"LAG","Exceed",1,"S&D","Breenbergh Hotel","NY",3,1.14,8,7,0,820,15.13,0.53,0.47,54.67,605.008,3,0,"0",0,0,7,0,6,4,1,0,31,3,0,1,6,3,3,"820",605,"Stage5","NY",3
"748",780,"5/26/2023",11337,"LAG","JoeDeceives",1,"S&D","Breenbergh Hotel","NY",3,0.57,4,7,1,461,16.75,0.27,0.47,30.73,484.048,1,2,"0",0,0,8,0,2,5,1,1,19,2,0,1,6,3,3,"461",484,"Stage5","NY",3
"749",781,"5/26/2023",11337,"NY","HyDra",1,"S&D","Breenbergh Hotel","NY",6,2.5,10,4,0,1165,12.6,0.67,0.27,77.67,572.096,1,1,"0",0,0,5,0,6,4,1,0,52,1,1,0,3,6,3,"1165",572,"Stage5","LAG",1
"750",782,"5/26/2023",11337,"NY","KiSMET",1,"S&D","Breenbergh Hotel","NY",6,2.25,9,4,3,1238,20.89,0.6,0.27,82.53,636.128,3,1,"0",0,0,7,0,9,2,0,0,47,2,1,0,3,6,3,"1238",636,"Stage5","LAG",1
"751",783,"5/26/2023",11337,"NY","Priestahh",1,"S&D","Breenbergh Hotel","NY",6,0.71,5,7,1,653,17.2,0.33,0.47,43.53,559.552,0,0,"0",0,0,9,0,3,5,1,2,24,1,1,0,3,6,3,"653",560,"Stage5","LAG",1
"752",784,"5/26/2023",11337,"NY","Skyz",1,"S&D","Breenbergh Hotel","NY",6,1.2,6,5,2,924,31.33,0.4,0.33,61.6,544.768,1,2,"0",0,0,9,0,4,3,0,1,27,6,1,0,3,6,3,"924",545,"Stage5","LAG",1
"753",785,"5/26/2023",11337,"LAG","Arcitys",0,"Hardpoint","Embassy","NY",0,1.04,26,25,9,3066,18.77,2,1.92,235.85,653.088,0,0,"0",8,7,22,0,19,17,7,8,113,8,0,1,1,217,33,"3066",653,"Stage5","NY",3
"754",786,"5/26/2023",11337,"LAG","Assault",0,"Hardpoint","Embassy","NY",0,0.66,23,35,6,3075,17.26,1.77,2.69,236.54,590.928,0,0,"0",2,9,19,0,14,27,9,8,116,8,0,1,1,217,33,"3075",591,"Stage5","NY",3
"755",787,"5/26/2023",11337,"LAG","Exceed",0,"Hardpoint","Embassy","NY",0,1.15,31,27,10,3714,16.03,2.38,2.08,285.69,633.392,1,0,"0",5,5,20,0,23,16,8,11,135,20,0,1,1,217,33,"3714",633,"Stage5","NY",3
"756",788,"5/26/2023",11337,"LAG","JoeDeceives",0,"Hardpoint","Embassy","NY",0,1.29,36,28,9,4101,12.69,2.77,2.15,315.46,634.144,0,0,"0",11,8,17,0,26,21,10,7,151,10,0,1,1,217,33,"4101",634,"Stage5","NY",3
"757",789,"5/26/2023",11337,"NY","HyDra",0,"Hardpoint","Embassy","NY",1,1.1,33,30,10,4122,14.3,2.54,2.31,317.08,576.592,0,1,"0",10,6,4,0,26,18,7,12,158,14,1,0,0,250,33,"4122",577,"Stage5","LAG",1
"758",790,"5/26/2023",11337,"NY","KiSMET",0,"Hardpoint","Embassy","NY",1,0.85,28,33,10,3267,14.29,2.15,2.54,251.31,603.408,0,0,"0",5,7,14,0,16,25,12,8,117,13,1,0,0,250,33,"3267",603,"Stage5","LAG",1
"759",791,"5/26/2023",11337,"NY","Priestahh",0,"Hardpoint","Embassy","NY",1,1.04,29,28,7,3239,12.97,2.23,2.15,249.15,632.944,0,0,"0",8,8,26,0,22,21,7,7,115,21,1,0,0,250,33,"3239",633,"Stage5","LAG",1
"760",792,"5/26/2023",11337,"NY","Skyz",0,"Hardpoint","Embassy","NY",1,1,25,25,12,3332,21.64,1.92,1.92,256.31,639.328,0,0,"0",6,5,20,0,17,18,8,7,112,16,1,0,0,250,33,"3332",639,"Stage5","LAG",1
"761",793,"5/26/2023",11336,"LV","Clayster",2,"Control","Breenbergh Hotel","LV",3,1.17,28,24,6,3157,17.29,1.87,1.6,210.47,701.552,0,0,"0",0,0,18,6,21,19,6,5,118,16,1,0,1,3,2,"3157",702,"Stage5","SEA",1
"762",794,"5/26/2023",11336,"LV","Standy",2,"Control","Breenbergh Hotel","LV",3,1.04,26,25,14,3238,13.62,1.73,1.67,215.87,715.904,1,0,"0",0,0,20,3,18,17,8,8,122,5,1,0,1,3,2,"3238",716,"Stage5","SEA",1
"763",795,"5/26/2023",11336,"LV","TJHaLy",2,"Control","Breenbergh Hotel","LV",3,1.15,30,26,10,3477,16.23,2,1.73,231.8,699.152,3,0,"0",0,0,21,1,22,19,8,7,125,17,1,0,1,3,2,"3477",699,"Stage5","SEA",1
"764",796,"5/26/2023",11336,"LV","Temp",2,"Control","Breenbergh Hotel","LV",3,1.04,24,23,8,3440,21.63,1.6,1.53,229.33,710.272,0,0,"0",0,0,18,3,18,18,6,5,120,13,1,0,1,3,2,"3440",710,"Stage5","SEA",1
"765",797,"5/26/2023",11336,"SEA","Accuracy",2,"Control","Breenbergh Hotel","LV",1,0.62,13,21,4,2005,25.38,0.87,1.4,133.67,700.144,0,0,"0",0,0,13,7,11,18,2,3,72,9,0,1,3,1,2,"2005",700,"Stage5","LV",3
"766",798,"5/26/2023",11336,"SEA","Mack",2,"Control","Breenbergh Hotel","LV",1,0.96,27,28,10,3526,16.11,1.8,1.87,235.07,699.968,0,2,"0",0,0,18,2,19,19,8,8,141,16,0,1,3,1,2,"3526",700,"Stage5","LV",3
"767",799,"5/26/2023",11336,"SEA","Pred",2,"Control","Breenbergh Hotel","LV",1,0.97,30,31,12,3454,16.27,2,2.07,230.27,677.68,0,2,"0",0,0,17,1,20,21,10,10,146,11,0,1,3,1,2,"3454",678,"Stage5","LV",3
"768",800,"5/26/2023",11336,"SEA","Sib",2,"Control","Breenbergh Hotel","LV",1,1,28,28,9,3133,18.64,1.87,1.87,208.87,694.352,0,0,"0",0,0,24,3,23,21,5,7,117,10,0,1,3,1,2,"3133",694,"Stage5","LV",3
"769",801,"5/26/2023",11336,"LV","Clayster",1,"S&D","Mercado Las Almas","LV",6,1,6,6,2,711,18.83,0.4,0.4,47.4,574.128,1,0,"0",0,0,9,0,4,4,1,0,24,2,1,0,5,6,1,"711",574,"Stage5","SEA",1
"770",802,"5/26/2023",11336,"LV","Standy",1,"S&D","Mercado Las Almas","LV",6,1.5,12,8,4,1554,14.75,0.8,0.53,103.6,594.24,4,0,"0",0,0,10,0,8,4,2,2,57,4,1,0,5,6,1,"1554",594,"Stage5","SEA",1
"771",803,"5/26/2023",11336,"LV","TJHaLy",1,"S&D","Mercado Las Almas","LV",6,1,6,6,2,729,20,0.4,0.4,48.6,501.44,0,5,"0",0,0,9,0,4,4,0,2,32,4,1,0,5,6,1,"729",501,"Stage5","SEA",1
"772",804,"5/26/2023",11336,"LV","Temp",1,"S&D","Mercado Las Almas","LV",6,1.14,8,7,1,1447,23,0.53,0.47,96.47,504.512,1,0,"0",0,0,6,0,6,6,1,0,48,1,1,0,5,6,1,"1447",505,"Stage5","SEA",1
"773",805,"5/26/2023",11336,"SEA","Accuracy",1,"S&D","Mercado Las Almas","LV",5,0.5,4,8,5,1009,35.5,0.27,0.53,67.27,568.544,0,0,"0",0,0,11,0,2,4,1,2,37,4,0,1,6,5,1,"1009",569,"Stage5","LV",3
"774",806,"5/26/2023",11336,"SEA","Mack",1,"S&D","Mercado Las Almas","LV",5,0.56,5,9,4,846,34.4,0.33,0.6,56.4,501.264,2,2,"0",0,0,10,0,4,7,1,2,34,1,0,1,6,5,1,"846",501,"Stage5","LV",3
"775",807,"5/26/2023",11336,"SEA","Pred",1,"S&D","Mercado Las Almas","LV",5,0.88,7,8,1,768,13,0.47,0.53,51.2,508.352,2,3,"0",0,0,7,0,4,7,0,0,31,7,0,1,6,5,1,"768",508,"Stage5","LV",3
"776",808,"5/26/2023",11336,"SEA","Sib",1,"S&D","Mercado Las Almas","LV",5,1.57,11,7,0,1278,12.27,0.73,0.47,85.2,632.144,1,1,"0",0,0,10,0,8,4,2,0,41,5,0,1,6,5,1,"1278",632,"Stage5","LV",3
"777",809,"5/26/2023",11336,"LV","Clayster",0,"Hardpoint","Zarqwa Hydroelectric","LV",1,1.05,23,22,10,2702,14.3,2.09,2,245.64,534.624,0,0,"0",6,4,13,0,18,20,5,2,97,7,1,0,0,250,75,"2702",535,"Stage5","SEA",1
"778",810,"5/26/2023",11336,"LV","Standy",0,"Hardpoint","Zarqwa Hydroelectric","LV",1,0.92,22,24,11,2836,15.59,2,2.18,257.82,560.4,0,0,"0",4,2,13,0,17,15,5,9,117,15,1,0,0,250,75,"2836",560,"Stage5","SEA",1
"779",811,"5/26/2023",11336,"LV","TJHaLy",0,"Hardpoint","Zarqwa Hydroelectric","LV",1,1.42,34,24,7,3413,12.76,3.09,2.18,310.27,527.424,1,0,"0",9,8,23,0,22,14,12,10,118,13,1,0,0,250,75,"3413",527,"Stage5","SEA",1
"780",812,"5/26/2023",11336,"LV","Temp",0,"Hardpoint","Zarqwa Hydroelectric","LV",1,1.63,31,19,7,3485,15.26,2.82,1.73,316.82,577.888,0,0,"0",6,3,12,0,23,12,8,7,125,15,1,0,0,250,75,"3485",578,"Stage5","SEA",1
"781",813,"5/26/2023",11336,"SEA","Accuracy",0,"Hardpoint","Zarqwa Hydroelectric","LV",0,1.08,27,25,9,3240,17.59,2.45,2.27,294.55,527.232,0,0,"0",4,6,17,0,18,17,9,8,125,11,0,1,1,175,75,"3240",527,"Stage5","LV",3
